"ID";"RegioS";"Eigendom";"Perioden";"GemiddeldeWOZWaardeVanWoningen_1"
"0";"NL01  ";"T001132";"2019JJ00";"     250"
"1";"NL01  ";"T001132";"2020JJ00";"     271"
"2";"NL01  ";"T001132";"2021JJ00";"     290"
"3";"NL01  ";"T001132";"2022JJ00";"     317"
"4";"NL01  ";"T001132";"2023JJ00";"     368"
"5";"NL01  ";"T001132";"2024JJ00";"     379"
"6";"NL01  ";"1014800";"2019JJ00";"     299"
"7";"NL01  ";"1014800";"2020JJ00";"     323"
"8";"NL01  ";"1014800";"2021JJ00";"     345"
"9";"NL01  ";"1014800";"2022JJ00";"     378"
"10";"NL01  ";"1014800";"2023JJ00";"     439"
"11";"NL01  ";"1014800";"2024JJ00";"       ."
"12";"NL01  ";"A047047";"2019JJ00";"     164"
"13";"NL01  ";"A047047";"2020JJ00";"     179"
"14";"NL01  ";"A047047";"2021JJ00";"     192"
"15";"NL01  ";"A047047";"2022JJ00";"     211"
"16";"NL01  ";"A047047";"2023JJ00";"     249"
"17";"NL01  ";"A047047";"2024JJ00";"       ."
"18";"NL01  ";"A047048";"2019JJ00";"     229"
"19";"NL01  ";"A047048";"2020JJ00";"     248"
"20";"NL01  ";"A047048";"2021JJ00";"     261"
"21";"NL01  ";"A047048";"2022JJ00";"     279"
"22";"NL01  ";"A047048";"2023JJ00";"     323"
"23";"NL01  ";"A047048";"2024JJ00";"       ."
"24";"LD01  ";"T001132";"2019JJ00";"     189"
"25";"LD01  ";"T001132";"2020JJ00";"     201"
"26";"LD01  ";"T001132";"2021JJ00";"     216"
"27";"LD01  ";"T001132";"2022JJ00";"     240"
"28";"LD01  ";"T001132";"2023JJ00";"     279"
"29";"LD01  ";"T001132";"2024JJ00";"     291"
"30";"LD01  ";"1014800";"2019JJ00";"     228"
"31";"LD01  ";"1014800";"2020JJ00";"     242"
"32";"LD01  ";"1014800";"2021JJ00";"     261"
"33";"LD01  ";"1014800";"2022JJ00";"     289"
"34";"LD01  ";"1014800";"2023JJ00";"     335"
"35";"LD01  ";"1014800";"2024JJ00";"       ."
"36";"LD01  ";"A047047";"2019JJ00";"     116"
"37";"LD01  ";"A047047";"2020JJ00";"     124"
"38";"LD01  ";"A047047";"2021JJ00";"     134"
"39";"LD01  ";"A047047";"2022JJ00";"     149"
"40";"LD01  ";"A047047";"2023JJ00";"     176"
"41";"LD01  ";"A047047";"2024JJ00";"       ."
"42";"LD01  ";"A047048";"2019JJ00";"     157"
"43";"LD01  ";"A047048";"2020JJ00";"     166"
"44";"LD01  ";"A047048";"2021JJ00";"     176"
"45";"LD01  ";"A047048";"2022JJ00";"     193"
"46";"LD01  ";"A047048";"2023JJ00";"     222"
"47";"LD01  ";"A047048";"2024JJ00";"       ."
"48";"LD02  ";"T001132";"2019JJ00";"     235"
"49";"LD02  ";"T001132";"2020JJ00";"     252"
"50";"LD02  ";"T001132";"2021JJ00";"     269"
