Type Eigendom;Gemiddelde WOZ-waarde;Jaar;Decennium;Regio
Totaal;250.0;2019;2010;Nederland
Totaal;271.0;2020;2020;Nederland
Totaal;290.0;2021;2020;Nederland
Totaal;317.0;2022;2020;Nederland
Totaal;368.0;2023;2020;Nederland
Totaal;379.0;2024;2020;Nederland
Koopwoningen;299.0;2019;2010;Nederland
Koopwoningen;323.0;2020;2020;Nederland
Koopwoningen;345.0;2021;2020;Nederland
Koopwoningen;378.0;2022;2020;Nederland
Koopwoningen;439.0;2023;2020;Nederland
Koopwoningen;;2024;2020;Nederland
Huurwoning in bezit woningcorporatie;164.0;2019;2010;Nederland
Huurwoning in bezit woningcorporatie;179.0;2020;2020;Nederland
Huurwoning in bezit woningcorporatie;192.0;2021;2020;Nederland
Huurwoning in bezit woningcorporatie;211.0;2022;2020;Nederland
Huurwoning in bezit woningcorporatie;249.0;2023;2020;Nederland
Huurwoning in bezit woningcorporatie;;2024;2020;Nederland
Eigendom overige verhuurders;229.0;2019;2010;Nederland
Eigendom overige verhuurders;248.0;2020;2020;Nederland
Eigendom overige verhuurders;261.0;2021;2020;Nederland
Eigendom overige verhuurders;279.0;2022;2020;Nederland
Eigendom overige verhuurders;323.0;2023;2020;Nederland
Eigendom overige verhuurders;;2024;2020;Nederland
Totaal;189.0;2019;2010;Noord-Nederland
Totaal;201.0;2020;2020;Noord-Nederland
Totaal;216.0;2021;2020;Noord-Nederland
Totaal;240.0;2022;2020;Noord-Nederland
Totaal;279.0;2023;2020;Noord-Nederland
Totaal;291.0;2024;2020;Noord-Nederland
Koopwoningen;228.0;2019;2010;Noord-Nederland
Koopwoningen;242.0;2020;2020;Noord-Nederland
Koopwoningen;261.0;2021;2020;Noord-Nederland
Koopwoningen;289.0;2022;2020;Noord-Nederland
Koopwoningen;335.0;2023;2020;Noord-Nederland
Koopwoningen;;2024;2020;Noord-Nederland
Huurwoning in bezit woningcorporatie;116.0;2019;2010;Noord-Nederland
Huurwoning in bezit woningcorporatie;124.0;2020;2020;Noord-Nederland
Huurwoning in bezit woningcorporatie;134.0;2021;2020;Noord-Nederland
Huurwoning in bezit woningcorporatie;149.0;2022;2020;Noord-Nederland
Huurwoning in bezit woningcorporatie;176.0;2023;2020;Noord-Nederland
Huurwoning in bezit woningcorporatie;;2024;2020;Noord-Nederland
Eigendom overige verhuurders;157.0;2019;2010;Noord-Nederland
Eigendom overige verhuurders;166.0;2020;2020;Noord-Nederland
Eigendom overige verhuurders;176.0;2021;2020;Noord-Nederland
Eigendom overige verhuurders;193.0;2022;2020;Noord-Nederland
Eigendom overige verhuurders;222.0;2023;2020;Noord-Nederland
Eigendom overige verhuurders;;2024;2020;Noord-Nederland
Totaal;235.0;2019;2010;Oost-Nederland
Totaal;252.0;2020;2020;Oost-Nederland
Totaal;269.0;2021;2020;Oost-Nederland
Totaal;299.0;2022;2020;Oost-Nederland
Totaal;351.0;2023;2020;Oost-Nederland
Totaal;367.0;2024;2020;Oost-Nederland
Koopwoningen;279.0;2019;2010;Oost-Nederland
Koopwoningen;299.0;2020;2020;Oost-Nederland
Koopwoningen;320.0;2021;2020;Oost-Nederland
Koopwoningen;355.0;2022;2020;Oost-Nederland
Koopwoningen;416.0;2023;2020;Oost-Nederland
Koopwoningen;;2024;2020;Oost-Nederland
Huurwoning in bezit woningcorporatie;149.0;2019;2010;Oost-Nederland
Huurwoning in bezit woningcorporatie;160.0;2020;2020;Oost-Nederland
Huurwoning in bezit woningcorporatie;172.0;2021;2020;Oost-Nederland
Huurwoning in bezit woningcorporatie;191.0;2022;2020;Oost-Nederland
Huurwoning in bezit woningcorporatie;228.0;2023;2020;Oost-Nederland
Huurwoning in bezit woningcorporatie;;2024;2020;Oost-Nederland
Eigendom overige verhuurders;200.0;2019;2010;Oost-Nederland
Eigendom overige verhuurders;211.0;2020;2020;Oost-Nederland
Eigendom overige verhuurders;223.0;2021;2020;Oost-Nederland
Eigendom overige verhuurders;243.0;2022;2020;Oost-Nederland
Eigendom overige verhuurders;282.0;2023;2020;Oost-Nederland
Eigendom overige verhuurders;;2024;2020;Oost-Nederland
Totaal;273.0;2019;2010;West-Nederland
Totaal;300.0;2020;2020;West-Nederland
Totaal;320.0;2021;2020;West-Nederland
Totaal;348.0;2022;2020;West-Nederland
Totaal;405.0;2023;2020;West-Nederland
Totaal;413.0;2024;2020;West-Nederland
Koopwoningen;331.0;2019;2010;West-Nederland
Koopwoningen;361.0;2020;2020;West-Nederland
Koopwoningen;386.0;2021;2020;West-Nederland
Koopwoningen;421.0;2022;2020;West-Nederland
Koopwoningen;489.0;2023;2020;West-Nederland
Koopwoningen;;2024;2020;West-Nederland
Huurwoning in bezit woningcorporatie;182.0;2019;2010;West-Nederland
Huurwoning in bezit woningcorporatie;203.0;2020;2020;West-Nederland
Huurwoning in bezit woningcorporatie;218.0;2021;2020;West-Nederland
Huurwoning in bezit woningcorporatie;238.0;2022;2020;West-Nederland
Huurwoning in bezit woningcorporatie;281.0;2023;2020;West-Nederland
Huurwoning in bezit woningcorporatie;;2024;2020;West-Nederland
Eigendom overige verhuurders;258.0;2019;2010;West-Nederland
Eigendom overige verhuurders;283.0;2020;2020;West-Nederland
Eigendom overige verhuurders;297.0;2021;2020;West-Nederland
Eigendom overige verhuurders;315.0;2022;2020;West-Nederland
Eigendom overige verhuurders;366.0;2023;2020;West-Nederland
Eigendom overige verhuurders;;2024;2020;West-Nederland
Totaal;242.0;2019;2010;Zuid-Nederland
Totaal;259.0;2020;2020;Zuid-Nederland
Totaal;275.0;2021;2020;Zuid-Nederland
Totaal;299.0;2022;2020;Zuid-Nederland
Totaal;345.0;2023;2020;Zuid-Nederland
Totaal;355.0;2024;2020;Zuid-Nederland
Koopwoningen;288.0;2019;2010;Zuid-Nederland
Koopwoningen;308.0;2020;2020;Zuid-Nederland
Koopwoningen;328.0;2021;2020;Zuid-Nederland
Koopwoningen;356.0;2022;2020;Zuid-Nederland
Koopwoningen;411.0;2023;2020;Zuid-Nederland
Koopwoningen;;2024;2020;Zuid-Nederland
Huurwoning in bezit woningcorporatie;152.0;2019;2010;Zuid-Nederland
